,0
385,a multipurpose simulation platform for decision-making in construction management
386,application of micro ct and computation modeling in bone tissue engineering
387,a non-intrusive deep learning based diagnosis system for elevators
388,simplified deep forest model based just-in-time defect prediction for android mobile apps
389,personalised information retrieval: survey and classification
390,pervasive computing technologies for healthcare
391,selecting software reliability growth models and improving their predictive accuracy using historical projects data
392,on the neural network approach in software reliability modeling
393,evaluating representation learning of code changes for predicting patch correctness in program repair
394,stitching images of dual-cameras onboard satellite
395,toward a taxonomy of the unintentional discharge of firearms in law enforcement
396,an exploration of the current state of information assurance education
397,shift error detection in standardized exams
398,spatial scale and product mix economies in u.s. banking with simultaneous spillover regimes
399,"design, use and evaluation of p-fsefi: a parallel soft error fault injection framework for emulating soft errors in parallel applications"
400,cross-validation based k nearest neighbor imputation for software quality datasets: an empirical study
401,efficient leave-one-out cross-validation-based regularized extreme learning machine
402,risks to the public
403,techniques for supporting dynamic and adaptive workflow
404,methodologies for quantifying (re-)randomization security and timing under jit-rop
405,jitbot: an explainable just-in-time defect prediction bot
406,investigations about replication of empirical studies in software engineering: a systematic mapping study
407,"remotely sensed biomass over steep slopes: an evaluation among successional stands of the atlantic forest, brazil"
408,software is data too
409,"lctes 2016: proceedings of the 17th acm sigplan/sigbed conference on languages, compilers, tools, and theory for embedded systems"
410,chi ea '21: extended abstracts of the 2021 chi conference on human factors in computing systems
411,exhaustif®: a fault injection tool for distributed heterogeneous embedded systems
412,discovering patterns for prognostics: a case study in prognostics of train wheels
413,instruction scheduling in the presence of java’s runtime exceptions
414,teaching and computers
415,equity arbitrage
416,robust strategies for natural gas procurement
417,encyclopedia of database systems
418,a multi-lake comparative analysis of the general lake model (glm): stress-testing across a global observatory network
419,study of effect of seismic displacements on landslide susceptibility zonation (lsz) in garhwal himalayan region of india using gis and remote sensing techniques
420,empirical study on refactoring large-scale industrial systems and its effects on maintainability
421,fse 2016: proceedings of the 2016 24th acm sigsoft international symposium on foundations of software engineering
422,just-in-time software defect prediction using deep temporal convolutional networks
423,a markov model for fault-tolerant task parallel computations
424,scheduling in overlaid star all-photonic networks with large propagation delays
425,the artificial immune ecosystem: a bio-inspired meta-algorithm for boosting time series anomaly detection with expert input
426,framework for extreme imbalance classification: swim—sampling with the majority class
427,exploring the interaction between java's implicitly thrown exceptions and instruction scheduling
428,news
429,energy-efficient wireless networking for multimedia applications
430,a state of the art review of intelligent scheduling
431,"comparison of object-oriented and robot programming activities: the effects of programming modality on student achievement, abstraction, problem solving, and motivation"
432,snowflock: rapid virtual machine cloning for cloud computing
433,fpga-based fault injection into switch-level models
434,adaptive spelling error correction models for learner english
435,introduction to part iii: markers to mhealth predictors
436,the epistemology of computer security
437,state of the art-intense review on artificial intelligence systems application in process planning and manufacturing
438,the secret life of test smells - an empirical study on test smell evolution and maintenance
439,"formalizing the safety of java, the java virtual machine, and java card"
440,effects of financial holding company act on bank efficiency and productivity in taiwan
441,bridging fault localisation and defect prediction
442,the ultimate control flow transfer in a java based smart card
443,analysis of coupling evolution on open source systems
444,estimating the number of remaining links in traceability recovery
445,hci requirements for transparency and accountability tools for cloud service chains
446,a large-scale empirical study of just-in-time quality assurance
447,editor’s note: special section on software maintenance and evolution
448,an empirical examination of the impact of bias on just-in-time defect prediction
449,changelocator: locate crash-inducing changes based on crash reports
450,a generic data-driven technique for forecasting of reservoir inflow: application for hydropower maximization
451,global optimal real-time control of the quebec urban drainage system
452,a systematic review on the code smell effect
453,forecasting agricultural output with an improved grey forecasting model based on the genetic algorithm
454,"strategy development, risk assessment and resource management: some issues related to the implementation of the verification regime of the chemical weapons convention"
455,lessons learned from using a deep tree-based model for software defect prediction in practice
456,genomic and functional techniques to mine the microbiome for novel antimicrobials and antimicrobial resistance genes
457,predictive models of safety based on audit findings: part 2: measurement of model validity
458,smart car space: an application
459,application of a hybrid process simulation model to a software development project
460,verifying the stability and sensitivity of learning analytics based prediction models: an extended case study
461,early warning system potential for single sourcing risk mitigation
462,on the learning patterns and adaptive behavior of terrorist organizations
463,feasibility study of monitoring deterioration of outpatients using multimodal data collected by wearables
464,a performance model for x10 applications: what's going on under the hood?
465,quantifying uncertainties in earth observation-based ecosystem service assessments
466,"a spatial productivity index in the presence of efficiency spillovers: evidence for u.s. banks, 1992–2015"
467,fault-aware grid scheduling using performance prediction by workload modeling
468,just-in-time detection of protection-impacting changes on wordpress and mediawiki
469,handbook of smart cities
470,exploiting domain ontologies and intelligent agents: an automated network management support paradigm
471,llvm: a compilation framework for lifelong program analysis &amp; transformation
472,the ghost commit problem when identifying fix-inducing changes: an empirical study of apache projects
473,evaluating error associated with lidar-derived dem interpolation
474,"towards a generic resilience management, quantification and development process: general definitions, requirements, methods, techniques and measures, and case studies"
475,generating time-series of dry weather loads to sewers
476,deep learning for software defect prediction: a survey
477,an empirical study on the use of szz for identifying inducing changes of non-functional bugs
478,"algorithm-based fault tolerance for dense matrix factorizations, multiple failures and accuracy"
479,defect detection in ct scans of cast aluminum parts: a machine vision perspective
480,from hillslopes to watersheds: variability in model outcomes with the usle
481,characterizing android apps’ behavior for effective detection of malapps at large scale
482,"modelling heat, water and carbon fluxes in mown grassland under multi-objective and multi-criteria constraints"
483,"light vehicle fuelling errors in the uk: the nature of the problem, its consequences and prevention"
484,a new method for analysing the interrelationship between performance indicators with an application to agrometeorological models
485,statistical models vs. expert estimation for fault prediction in modified code – an industrial case study
486,szz unleashed: an open implementation of the szz algorithm - featuring example usage in a study of just-in-time bug prediction for the jenkins project
487,assessing personalized software defect predictors
488,dependability as ordinary action
489,fractionated software for networked cyber-physical systems: research directions and long-term vision
490,surface reconstruction and landslide displacement measurements with pléiades satellite images
491,recursive robust least squares support vector regression based on maximum correntropy criterion
492,predicting software defects with explainable machine learning
493,predicting pull request completion time: a case study on large scale cloud services
494,modelling the user
495,towards just-in-time suggestions for log changes
496,guest editorial: mining software repositories
497,vuldigger: a just-in-time and cost-aware tool for digging vulnerability-contributing changes
498,"macroeconomic indicators alone can predict the monthly closing price of major u.s. indices: insights from artificial intelligence, time-series analysis and hybrid models"
499,high-performance java
500,assessgrid strategies for provider ranking mechanisms in risk–aware grid systems
501,tailoring interface for spanish language: a case study with chica system
502,"parameter identification of the stics crop model, using an accelerated formal mcmc approach"
503,rem in agile projects
504,a software framework for construction of process-based stochastic spatio-temporal models and data assimilation
505,cregit: token-level blame information in git version control repositories
506,randomized data-gathering protocol for time-driven sensor networks
507,predicting defects with latent and semantic features from commit logs in an industrial setting
508,"jitline: a simpler, better, faster, finer-grained just-in-time defect prediction"
509,artificial intelligence approach for the prediction of robusta coffee yield using soil fertility properties
510,comparing spatial metrics that quantify urban form
511,simplify and rationalize it and security
512,ict and socio-economic development: evidence from a spatial panel data analysis in china
513,flexible scheme for reconfiguring 2d mesh-connected vlsi subarrays under row and column rerouting
514,the economic effects of domestic search engines on the development of the online advertising market
515,deep learning for just-in-time defect prediction
516,class imbalance evolution and verification latency in just-in-time software defect prediction
517,a cluster based feature selection method for cross-project software defect prediction
518,the anticipatory approach: definitions and taxonomies
519,proactive byzantine quorum systems
520,balancing the trade-off between accuracy and interpretability in software defect prediction
521,automatic feature exploration and an application in defect prediction
522,performance of one-dimensional hydrodynamic lake models during short-term extreme weather events
523,feature-oriented defect prediction
524,pragmatic prioritization of software quality assurance efforts
525,"home, safehome: smart home reliability with visibility and atomicity"
526,achieving agility in it project portfolios – a systematic literature review
527,automatic grading of programming assignments: an approach based on formal semantics
528,using modeling and simulation as a framework for testing new solutions devoted to securing global flows of goods and people
529,recovering test-to-code traceability using slicing and textual analysis
530,collaboration strength metrics and analyses on github
531,software development bug tracking: “tool isn’t user friendly” or “user isn’t process friendly”
532,an econometric approach for evaluating the linkages between broadband and knowledge intensive firms
533,data mining for software engineering and humans in the loop
534,two-stage visual navigation by deep neural networks and multi-goal reinforcement learning
535,a spatially distributed flash flood forecasting model
536,a bibliometric assessment of software engineering scholars and institutions (2010–2017)
537,three schemes for wireless coded broadcast to heterogeneous users
538,integrating a general bayesian network with multi-agent simulation to optimize supply chain management
539,table of contents
540,team up: cooperative memory management in embedded systems
541,a conceptual framework for stage configuration
542,model development of a bayesian belief network for managing inundation events for wetland fish
543,information infrastructure risk prediction through platform vulnerability analysis
544,approaching runtime trust assurance in open adaptive systems
545,perceptions of built environment and health outcomes for older chinese in beijing: a big data approach with street view images and deep learning technique
546,darp-mp: dynamically adaptable resilient pipeline design in multicore processors
547,particle filtering-based methods for time to failure estimation with a real-world prognostic application
548,the role and value of replication in empirical software engineering results
549,effort-oriented methods and tools for software development and maintenance for mobile apps
550,"frontmatter (toc, letters, election results, software reliability resources!, computing curricula 2004 and the software engineering volume se2004, software reuse research, icse 2005 forward)"
551,an implementation of just-in-time fault-prone prediction technique using text classifier
552,evaluating the impact of falsely detected performance bug-inducing changes in jit models
553,session scribe notes for twenty-first acm symposium on operating systems principles
554,subglacial water presence classification from polar radar data
555,improving tcp performance in integrated wireless communications networks
556,quick remedy commits and their impact on mining software repositories
557,workflow modeling in critical care: piecing together your own puzzle
558,within-project and cross-project just-in-time defect prediction based on denoising autoencoder and convolutional neural network
559,the relation of test-related factors to software quality: a case study on apache systems
560,high-impact bug report identification with imbalanced learning strategies
561,ml-supported identification and prioritization of threats in the ovvl threat modelling tool
562,enhancing data stream predictions with reliability estimators and explanation
563,curved patch mapping and tracking for irregular terrain modeling: application to bipedal robot foot placement
564,the relationship between commit message detail and defect proneness in java projects on github
565,on the need of preserving order of data when validating within-project defect classifiers
566,improved lithology prediction in channelized reservoirs by integrating stratigraphic forward modelling: towards improved model calibration in a case study of the holocene rhine-meuse fluvio-deltaic system
567,[journal first] are fix-inducing changes a moving target?: a longitudinal case study of just-in-time defect prediction
568,disentangling environmental and economic contributions to hydro-economic model output uncertainty: an example in the context of land-use change impact assessment
569,security during application development: an application security expert perspective
570,tstss: a two-stage training subset selection framework for cross version defect prediction
571,a framework for integrated proactive maintenance decision making and supplier selection
572,popl '16: proceedings of the 43rd annual acm sigplan-sigact symposium on principles of programming languages
573,cscw '17: proceedings of the 2017 acm conference on computer supported cooperative work and social computing
574,bonvoision: leveraging spatial data smoothness for recovery from memory soft errors
575,research on software risk assessment model based on ahp- fuzzy comprehensive evaluation
576,marmot: an optimizing compiler for java
577,optimal expansion paths for hospitals of different types: viewpoint of scope economies and evidence from chinese hospitals
578,edo: exception-directed optimization in java
579,defect prediction model of static code features for cross-company and cross-project software
580,an approach to assess risks related to information system in supply chain
581,depspace: a byzantine fault-tolerant coordination service
582,adaptive request batching for byzantine replication
583,development of a procedure model for business process oriented implementation of standard software
584,transfer learning for cross-project change-proneness prediction in object-oriented software systems: a feasibility analysis
585,bubble-sensing: binding sensing tasks to the physical world
586,siggraph '18: acm siggraph 2018 courses
587,a machine-learning based ensemble method for anti-patterns detection
588,do shareholders favor business analytics announcements?
589,developing an amenity value calculator for urban forest landscapes
590,pmu-trojan: on exploiting power management side channel for information leakage
591,locus: locating bugs from software changes
592,improvements to the calibration of a geographically weighted regression with parameter-specific distance metrics and bandwidths
593,imnrfixer: a hybrid approach to alleviate class-imbalance problem for predicting the fixability of non-reproducible bugs
594,a process framework combining safety and security in practice
595,leveraging the defects life cycle to label affected versions and defective classes
596,"camera orientation, calibration and inverse perspective with uncertainties: a bayesian method applied to area estimation from diverse photographs"
597,aliasing in object oriented systems
598,cost-sensitive transfer kernel canonical correlation analysis for heterogeneous defect prediction
599,multi label text classification method based on co-occurrence latent semantic vector space
600,continuous build outcome prediction: a small-n experiment in settings of a real software project
601,implications of accelerated self-healing as a key design knob for cross-layer resilience
602,evaluation studies of software testing research in brazil and in the world: a survey of two premier software engineering conferences
603,digital society: a computing science prospective
604,a survey on the moving target defense strategies: an architectural perspective
605,generation of tlm testbenches using mutation testing
606,comparing interpolation techniques for monthly rainfall mapping using multiple evaluation criteria and auxiliary data sources: a case study of sri lanka
607,a preliminary study of the application of artificial neural networks to prediction of milk yield in dairy sheep
608,workflow scheduling in cloud: a survey
609,a compositional model for effort-aware just-in-time defect prediction on android apps
610,on deterministic chaos in software reliability growth models
611,leveraging fault localisation to enhance defect prediction
612,a survey on spot pricing in cloud computing
613,enabling a pervasive approach for intelligent decision support in critical health care
614,a programming system for sensor-based scientific applications
615,comprehensible software fault and effort prediction: a data mining approach
616,searching for bellwether developers for cross-personalized defect prediction
617,saml goes eclipse: combining model-based safety analysis and high-level editor support
618,machine learning in bioinformatics: a brief survey and recommendations for practitioners
619,snowflock: virtual machine cloning as a first-class cloud primitive
620,a method of multi-perspective assessment of lean management
621,exploring characteristic of visual management as lean toolbox in construction worksite of apartment house
622,student and expert modelling for simulation-based training: a cost effective framework
623,galileo: a simulation tool for leo satellite constellations
624,user trust and understanding of explainable ai: exploring algorithm visualisations and user biases
625,assessing the impact of timing errors on hpc applications
626,an empirical study of crash-inducing commits in mozilla firefox
627,protecting personal information in cloud computing
628,predicting defective modules in different test phases
629,"""energy is a finite resource"": designing technology to support individuals across fluctuating symptoms of depression"
630,"evaluation of prediction capability, robustness, and sensitivity in non-linear landslide susceptibility models, guantánamo, cuba"
631,advancing real-time flood prediction in large estuaries: iflood a fully coupled surge-wave automated web-based guidance system
632,tackling class overlap and imbalance problems in software defect prediction
633,“make it personal!” - gathering input from stakeholders for a learning analytics-supported learning design tool
634,software defect prediction with imbalanced distribution by radius-synthetic minority over-sampling technique
635,towards surgically-precise technical debt estimation: early results and research roadmap
636,trail: a distance-sensitive sensor network service for distributed object tracking
637,supervised vs unsupervised models: a holistic look at effort-aware just-in-time defect prediction
638,the impact of mislabeled changes by szz on just-in-time defect prediction
639,determinants of mutual fund underperformance: a bayesian stochastic frontier approach
640,clever: combining code metrics with clone detection for just-in-time fault prevention and resolution in large industrial projects
641,things that help out: designing smart wearables as partners in stress management
642,a relative map approach to slam based on shift and rotation invariants
643,process variability through automated late selection of fragments
644,minimum payments that reward honest reputation feedback
645,debug all your code: portable mixed-environment debugging
646,encyclopedia of cryptography and security
647,encyclopedia of education and information technologies
648,sample privileged access management use cases
649,cross-project just-in-time bug prediction for mobile apps: an empirical assessment
650,operational analysis and basic queueing models
651,current state of security
652,flooding and recycling authorizations
653,reliability-aware dynamic energy management in dependable embedded real-time systems
654,collision-aware rate adaptation in multi-rate wlans: design and implementation
655,the future(s) of social machines: the research agenda
656,predicting node failures in an ultra-large-scale cloud computing platform: an aiops solution
657,personalized defect prediction
658,building reliable systems based on self-organizing multi-agent systems
659,a concept for an it-supported integrated earnings and risk management to strengthen the resilience of companies in times of crisis
660,ammonia: an approach for deriving project-specific bug patterns
661,global scheduling based reliability-aware power management for multiprocessor real-time systems
662,a framework for model-driven engineering of resilient software-controlled systems
663,on the prediction of long-lived bugs: an analysis and comparative study using floss projects
664,a long-term prediction approach based on long short-term memory neural networks with automatic parameter optimization by tree-structured parzen estimator and applied to time-series data of npp steam generators
665,a replicated field intervention study evaluating the impact of a highly adjustable chair and office ergonomics training on visual symptoms
666,integration of fiber optic cable diagnostics within aerospace transceivers
667,self-repairable gals
668,a diagnosis algorithm for extreme space compaction
669,debugging aspect-enabled programs
670,sigmod '15: proceedings of the 2015 acm sigmod international conference on management of data
671,early life cycle software defect prediction: why? how?
672,"history of computers, electronic commerce and agile methods"
673,remote agent: to boldly go where no ai system has gone before
674,safety case development - a practical guide
675,watch out for extrinsic bugs! a case study of their impact in just-in-time bug prediction models on the openstack project
676,bringing interactive process mining to health professionals: interactive data rodeos
677,the prediction model for electrical power system using an improved hybrid optimization model
678,digital manufacturing/industry 4.0
679,toward an understanding of bug fix patterns
680,an empirical study of software change classification with imbalance data-handling methods
681,ldfr: learning deep feature representation for software defect prediction
682,algorithm-based fault tolerance for dense matrix factorizations
683,experiences and challenges of introducing risk-based testing in an industrial project
684,flux-based vs. topology-based similarity of metabolic genes
685,source code metrics: a systematic mapping study
686,seeing our signals: combining location traces and web-based models for personal discovery
687,the generalized earthquake-location (genloc) package: an earthquake-location library
688,a replication study: just-in-time defect prediction with ensemble learning
689,a sanctuary for mobile agents
690,using passively collected sedentary behavior to predict hospital readmission
691,case study 1: evolution of a legacy system
692,potential rating indicators for cyberinsurance: an exploratory qualitative study
693,source-level global optimizations for fine-grain distributed shared memory systems
694,integration of social concerns in collaborative logistics and transportation networks
695,traffic capacity analysis for shared access networks with qos objectives and uncertain demands
696,it enabled risk management for taxation and customs: the case of aeo assessment in the netherlands
697,change-enabled software systems
698,ase 2016: proceedings of the 31st ieee/acm international conference on automated software engineering
699,"impacts of tree and building shades on the urban heat island: combining remote sensing, 3d digital city and spatial regression approaches"
700,quality in e-learning: a framework for promoting and assuring quality in virtual institutions
701,an exploratory study of risk factors for implementing service-oriented is projects
702,the impact of duplicate changes on just-in-time defect prediction
703,uncertain data classification with additive kernel support vector machine
704,deepjit: an end-to-end deep learning framework for just-in-time defect prediction
705,screening heuristics for project gating systems
706,towards just-in-time refactoring recommenders
707,continuous software bug prediction
708,an overview on fault diagnosis and nature-inspired optimal control of industrial process applications
709,understanding social network site users’ privacy tool use
710,the impact of automated feature selection techniques on the interpretation of defect models
711,improving the quality of software by quantifying the code change metric and predicting the bugs
712,experience report: investigating bug fixes in machine learning frameworks/libraries
713,success factors for serious games to enhance learning: a systematic review
714,revisiting unsupervised learning for defect prediction
715,achieving high data reliability at low scrubbing cost via failure-aware scrubbing
716,modular conceptual modelling approach and software for river hydraulic simulations
717,"policy override in practice: model, evaluation, and decision support"
718,how to keep your head above water while detecting errors
719,complexity and performance of urban expansion models
720,architecture-level hazard analysis using aadl
721,efficient branch and bound on fpgas using work stealing and instance-specific designs
722,"software metrics: successes, failures and new directions"
723,"entangled footprints: understanding urban neighbourhoods by measuring distance, diversity, and direction of flows in singapore"
724,combined classifier for cross-project defect prediction: an extended empirical study
725,impact of earthquake source complexity and land elevation data resolution on tsunami hazard assessment and fatality estimation
726,a novel modified undersampling (mus) technique for software defect prediction
727,formal specification and verification of the pgvt algorithm
728,"towards generic and middleware-independent support for replicated, distributed objects"
729,stochastic simulation of large grids using free and public domain software
730,a framework for design tradeoffs
731,value-based argumentation for justifying compliance
732,mining software repositories for comprehensible software fault prediction models
733,"not all bugs are the same: understanding, characterizing, and classifying bug types"
734,errors and error recovery
735,failure-aware resource management for high-availability computing clusters with distributed virtual machines
736,introduction to scrum and agile concepts
737,using classification methods to reinforce the impact of social factors on software success
738,interaction effects of race and gender in elementary cs attitudes: a validation and cross-sectional study
739,modeling opportunities in mhealth cyber-physical systems
740,iterative identification of fault-prone binaries using in-process metrics
741,"using phase-type models to cost stroke patient care across health, social and community services"
742,protecting the transportation sector from the negative impacts of climate change
743,understanding and predicting the determinants of cloud computing adoption: a two staged hybrid sem - neural networks approach
744,"jarvis, a hardware/software framework for resilient industry 4.0 systems"
745,quality-related locally weighted soft sensing for non-stationary processes by a supervised bayesian network with latent variables
746,systematic testing of an integrated systems model for coastal zone management using sensitivity and uncertainty analyses
747,achieving dependability in service-oriented systems
748,a study of exception handling and its dynamic optimization in java
749,dp-share: privacy-preserving software defect prediction model sharing through differential privacy
750,an appraisal of web-based simulation: whither we wander?
751,the selection of appropriate spectrally bright pseudo-invariant ground targets for use in empirical line calibration of spot satellite imagery
752,uncovering spatial productivity centers using asymmetric bidirectional spillovers
753,does chronology matter in jit defect prediction? a partial replication study
754,discrete event complex systems: scheduling with neural networks
755,analysis of traffic hazard intensity: a spatial epidemiology case study of urban pedestrians
756,surface heat assessment for developed environments: probabilistic urban temperature modeling
757,"warning-introducing commits vs bug-introducing commits: a tool, statistical models, and a preliminary user study"
758,combining arfima models and fuzzy time series for the forecast of long memory time series
759,cc2vec: distributed representations of code changes
760,overview of agile software development
761,safety assurance of open adaptive systems – a survey
